WARPTOTAL,TOTALLENGTH,THEORYLENGTH,DENIM,FIBERBASE,UNITWEIGHT,GRANULARITY,WARPLENGTH,WARPSPEED,WARPPRES,SSTENSION,WARPTENSION,TRACFORCE,OILWAXSPEED,REEDSLIGHT,ROLLQUANTITY,PRESROLLER,HYDRATENSION,GROUPTYPE,OTHER
14070.0,33000,33288,73,14070,0.27,1279,33000,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,60500,60411,73,14070,0.49,1279,30250,400,3.0,6,6,0,0,2,2,3.0,6.0,2,1.0
14070.0,189800,189863,73,14070,1.54,1082,37960,400,3.0,6,6,0,0,2,5,3.0,6.0,2,1.0
14070.0,46200,46849,73,14070,0.38,1279,46200,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,33000,33288,73,14070,0.27,1279,33000,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,99000,98630,73,14070,0.8,1279,33000,400,3.0,6,6,0,0,2,3,3.0,6.0,2,1.0
14070.0,58300,57945,73,14070,0.47,1279,29150,400,3.0,6,6,0,0,2,2,3.0,6.0,2,1.0
14070.0,114400,114658,73,14070,0.93,1279,28600,400,3.0,6,6,0,0,2,4,3.0,6.0,2,1.0
14070.0,269500,270000,73,14070,2.19,1279,24500,400,3.0,6,6,0,0,2,11,3.0,6.0,2,1.0
14070.0,33000,33288,73,14070,0.27,1279,33000,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,45600,45616,73,14070,0.37,1173,22800,400,3.0,6,6,0,0,2,2,3.0,6.0,2,1.0
14070.0,28600,28356,73,14070,0.23,1279,28600,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
15350.0,2800,2466,73,15350,0.02,1096,2800,400,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
4400.0,13930,7200,248,108,0.19,108,0,200,4.0,9,8,0,35,2,0,4.0,8.0,1,3.0
13200.0,20000,13500,20,13200,0.03,1320,20000,60,1.0,3,5,0,0,2,1,1.0,6.0,1,1.0
7696.0,229320,363000,90,7696,3.63,1283,19110,160,3.0,6,12,0,0,2,12,3.0,12.0,1,1.0
7696.0,179000,134000,90,7696,1.34,770,17900,160,3.0,6,12,0,0,2,10,3.0,12.0,1,1.0
7696.0,10400,10000,90,7696,0.1,962,10400,160,3.0,6,12,0,0,2,1,3.0,12.0,1,1.0
7696.0,133675,363000,90,7696,3.63,1283,19096,160,3.0,6,12,0,0,2,7,3.0,12.0,1,1.0
7696.0,99400,99000,90,7696,0.99,1099,24850,160,3.0,6,12,0,0,2,4,3.0,12.0,1,1.0
8056.0,1880,2000,90,8056,0.02,1007,1880,160,3.0,6,12,0,0,2,1,3.0,12.0,1,1.0
7696.0,52500,53000,90,7696,0.53,1099,26250,160,3.0,6,12,0,0,2,2,3.0,12.0,1,1.0
7696.0,123760,90000,90,7696,0.9,1099,30940,160,3.0,6,12,0,0,2,4,3.0,12.0,1,1.0
7696.0,187600,94000,90,7696,0.94,1099,31267,160,3.0,6,12,0,0,2,6,3.0,12.0,1,1.0
7696.0,206500,207000,90,7696,2.07,1099,29500,160,3.0,6,12,0,0,2,7,3.0,12.0,1,1.0
9600.0,2970,3000,90,9600,0.03,1067,2970,160,3.0,6,12,0,0,2,1,3.0,12.0,1,1.0
