Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-06-01,901139.0,937899.0,900606.0,910711.0,59.96099,55068355.6433,918403.042433
2017-05-31,909400.0,914999.0,890000.0,901139.0,28.668819,25909785.7036,903761.878143
2017-05-30,926666.0,926666.0,901005.0,902501.0,28.873059,26324269.2683,911724.29178
2017-05-29,901555.0,926666.0,893010.0,926666.0,23.859994,21615631.9045,905936.183576
2017-05-28,820000.0,959999.0,820000.0,904999.0,44.508993,40491212.9429,909731.050148
2017-05-27,910000.0,929990.0,720000.0,832000.0,62.318162,50988045.4348,818189.173082
2017-05-26,1026709.0,1087995.0,645000.0,910000.0,70.403552,67411518.7623,957501.672107
2017-05-25,1049981.0,1139999.0,930050.0,1045000.0,78.583078,84459173.087,1074775.57811
2017-05-24,911000.0,1098989.0,905000.0,1049993.0,58.772082,56915018.6326,968402.287205
2017-05-23,1299999.0,1499000.0,835800.0,919869.0,75.430356,82002682.3259,1087131.05273
2017-05-22,969719.0,1300000.0,969719.0,1300000.0,32.380212,34185605.5851,1055756.07674
2017-05-21,889999.0,989999.0,889998.0,969719.0,38.227914,36177239.7912,946356.62807
2017-05-20,860001.0,890000.0,859499.0,889999.0,10.164514,8860100.05732,871669.816907
2017-05-19,839989.0,870119.0,839988.0,860001.0,23.382016,19985432.923,854735.234251
2017-05-18,839300.0,843000.0,837000.0,839989.0,10.538828,8857315.88319,840446.004356
2017-05-17,830000.0,847999.0,830000.0,836009.0,17.252603,14461507.7567,838221.789298
2017-05-16,819407.0,832999.0,819400.0,830000.0,15.096083,12479189.1303,826650.802749
2017-05-15,837994.0,844900.0,810184.0,829849.0,17.593252,14682389.2904,834546.636997
2017-05-14,819774.0,850000.0,819773.0,837995.0,14.221655,11977300.242,842187.512076
2017-05-13,770100.0,825550.0,770100.0,819774.0,16.555698,13166024.333,795256.37234
2017-05-12,835101.0,850000.0,750055.0,770100.0,51.453269,41500679.32,806570.313735
2017-05-11,784997.0,889974.0,784997.0,838533.0,56.898208,47680469.4837,837995.978427
2017-05-10,728448.0,785000.0,728447.0,785000.0,37.43318,28183564.3178,752903.288414
2017-05-09,702265.0,729000.0,700021.0,728448.0,30.787856,22203859.192,721188.873691
2017-05-08,690550.0,710000.0,685999.0,702265.0,23.525954,16486046.6632,700759.963367
2017-05-07,687120.0,690898.0,685000.0,690550.0,12.195114,8397470.7222,688593.048183
2017-05-06,667099.0,699950.0,667099.0,689148.0,13.806896,9502002.00903,688206.966217
2017-05-05,685230.0,717250.0,645000.0,699950.0,45.725393,31623443.3459,691594.785109
2017-05-04,629999.0,779890.0,619050.0,678002.0,50.654911,35061849.4712,692170.784214
2017-05-03,597065.0,629999.0,594671.0,629999.0,23.525779,14240667.8599,605321.841197
